,City,Country,Temperature,Humidity %,Cloudiness %,Windspeed(mph),Longitude,Latitude
1,nisko,PL,54.0,98.0,100.0,3.0,22.14,50.52
2,mbanza-ngungu,CD,85.59,43.0,33.0,7.07,14.87,-5.25
3,castro,BR,90.91,28.0,0.0,10.27,-50.01,-24.79
4,ostrovnoy,RU,47.46,88.0,22.0,12.97,39.51,68.05
5,alofi,NU,75.2,94.0,4.0,5.82,-169.92,-19.06
6,hithadhoo,MV,84.04,69.0,100.0,5.97,73.08,-0.6
7,cape town,ZA,57.25,67.0,75.0,14.99,18.42,-33.93
8,atuona,PF,77.92,79.0,5.0,21.56,-139.03,-9.8
9,paamiut,GL,32.74,75.0,99.0,5.93,-49.67,61.99
10,bengkulu,ID,77.77,86.0,99.0,7.63,102.27,-3.8
11,kurtamysh,RU,50.16,81.0,3.0,2.15,64.43,54.91
13,busselton,AU,58.59,72.0,91.0,13.73,115.33,-33.65
14,tabou,CI,78.35,84.0,94.0,10.56,-7.35,4.42
15,rikitea,PF,70.79,81.0,66.0,23.4,-134.97,-23.12
16,tiznit,MA,79.43,47.0,0.0,8.5,-9.5,29.58
17,berezovyy,RU,40.64,85.0,0.0,2.51,135.7,51.67
19,ukiah,US,63.34,63.0,1.0,1.48,-123.21,39.15
20,hobart,AU,52.29,62.0,100.0,12.75,147.33,-42.88
21,arraial do cabo,BR,83.17,74.0,3.0,20.8,-42.03,-22.97
22,batemans bay,AU,53.98,94.0,100.0,5.01,150.18,-35.72
23,tena,EC,75.2,88.0,75.0,3.36,-77.82,-0.98
24,bilma,NE,103.98,8.0,56.0,0.89,12.92,18.69
25,saint-philippe,RE,68.74,78.0,75.0,2.24,55.77,-21.36
27,sao filipe,CV,79.72,76.0,23.0,11.86,-24.5,14.9
28,barrow,US,32.0,98.0,90.0,12.75,-156.79,71.29
31,kapaa,US,68.09,78.0,1.0,8.05,-159.32,22.08
32,qusar,AZ,50.85,69.0,94.0,3.36,48.43,41.43
33,saint-joseph,RE,68.81,78.0,75.0,2.24,55.62,-21.37
34,changping,CN,62.89,67.0,100.0,6.71,116.22,40.22
35,bluff,NZ,39.0,94.0,52.0,1.01,168.33,-46.6
36,alta floresta,BR,107.89,16.0,2.0,4.79,-56.09,-9.88
37,mar del plata,AR,73.4,53.0,68.0,9.17,-57.56,-38.0
38,takoradi,GH,78.62,82.0,100.0,13.0,-1.76,4.88
40,masvingo,ZW,67.64,82.0,73.0,11.92,30.83,-20.06
41,najran,SA,86.0,15.0,0.0,10.22,44.13,17.49
42,vaini,TO,71.6,100.0,75.0,6.93,-175.2,-21.2
43,punta arenas,CL,35.29,69.0,20.0,35.57,-70.92,-53.15
44,broken hill,AU,53.6,81.0,0.0,6.98,141.43,-31.95
45,butaritari,KI,81.63,78.0,99.0,15.12,172.79,3.07
46,ahuimanu,US,72.09,78.0,20.0,5.23,-157.84,21.44
48,ozernovskiy,RU,47.57,90.0,97.0,1.97,156.52,51.5
49,aklavik,CA,30.2,100.0,90.0,6.93,-135.01,68.22
50,labuhan,ID,81.07,77.0,83.0,8.72,112.21,-6.88
51,puerto colombia,CO,84.2,74.0,75.0,13.87,-74.95,10.99
53,mbigou,GA,77.29,67.0,79.0,4.88,11.91,-1.9
54,jamestown,US,56.5,71.0,75.0,24.16,-79.24,42.1
55,novaya lyalya,RU,49.1,80.0,0.0,2.8,60.6,59.05
56,qaanaaq,GL,14.34,81.0,0.0,6.44,-69.36,77.48
57,hanyang,CN,57.0,99.0,100.0,1.01,105.51,32.14
58,chuy,UY,69.89,65.0,2.0,4.45,-53.46,-33.7
61,new norfolk,AU,49.57,67.0,97.0,3.0,147.06,-42.78
63,cabo san lucas,MX,82.4,69.0,5.0,3.36,-109.91,22.89
65,namibe,AO,69.8,73.0,90.0,13.87,12.15,-15.2
66,bairiki,KI,78.8,88.0,75.0,10.29,172.98,1.33
67,kralendijk,BQ,91.4,59.0,20.0,17.22,-68.27,12.15
68,port hedland,AU,69.8,77.0,0.0,5.82,118.57,-20.32
69,berlevag,NO,50.0,81.0,75.0,9.17,29.09,70.86
71,sao miguel,BR,86.94,52.0,20.0,18.34,-35.37,-5.47
73,provideniya,RU,33.75,90.0,0.0,6.6,-173.3,64.38
74,bankura,IN,80.87,85.0,99.0,0.74,87.07,23.25
75,cayenne,GF,89.6,59.0,40.0,12.75,-52.33,4.93
77,katsuura,JP,67.55,82.0,90.0,8.05,140.3,35.13
78,san rafael,AR,69.58,23.0,0.0,16.62,-68.33,-34.62
79,albany,US,61.74,68.0,82.0,1.01,-73.97,42.6
80,port elizabeth,ZA,60.8,72.0,40.0,13.87,25.57,-33.92
83,puerto madryn,AR,56.48,38.0,6.0,17.72,-65.04,-42.77
85,pemba,MZ,81.3,65.0,20.0,8.05,40.52,-12.97
86,yellowknife,CA,37.63,100.0,75.0,4.7,-114.35,62.46
87,tasiilaq,GL,33.8,64.0,20.0,6.93,-37.64,65.61
88,hermanus,ZA,57.0,75.0,79.0,5.99,19.23,-34.42
91,tiksi,RU,31.6,96.0,100.0,20.92,128.87,71.69
95,touros,BR,87.8,52.0,20.0,18.34,-35.46,-5.2
97,kahului,US,71.53,73.0,20.0,6.91,-156.47,20.89
98,georgetown,MY,80.85,88.0,20.0,3.36,100.34,5.41
99,bethel,US,62.53,63.0,75.0,10.29,-73.41,41.37
100,remedios,CU,87.8,62.0,40.0,4.7,-79.55,22.49
101,belousovka,KZ,41.0,80.0,75.0,3.15,82.52,50.13
102,los llanos de aridane,ES,72.12,65.0,20.0,10.29,-17.92,28.66
103,pervomayskoye,RU,61.39,60.0,98.0,22.06,46.71,43.92
104,dingle,PH,77.14,90.0,100.0,0.51,122.67,11.0
106,lebu,CL,50.45,55.0,31.0,8.86,-73.65,-37.62
107,pacific grove,US,59.97,61.0,90.0,8.16,-121.92,36.62
112,sotnikovo,RU,39.2,55.0,75.0,11.18,107.48,51.88
113,ereymentau,KZ,39.92,62.0,8.0,3.83,73.1,51.62
116,clyde river,CA,30.2,92.0,75.0,17.22,-68.59,70.47
117,praya,CV,84.2,70.0,75.0,13.87,-23.51,14.92
118,grande prairie,CA,39.2,69.0,20.0,3.36,-118.8,55.17
119,uthal,PK,83.77,64.0,0.0,6.85,66.62,25.81
121,mataura,NZ,39.0,94.0,30.0,1.01,168.86,-46.19
122,bredasdorp,ZA,57.2,58.0,60.0,16.11,20.04,-34.53
126,hambantota,LK,75.2,100.0,75.0,3.36,81.12,6.12
127,balkanabat,TM,62.71,28.0,0.0,8.84,54.37,39.51
128,east london,ZA,64.4,82.0,0.0,16.11,27.91,-33.02
130,yelizovo,RU,41.0,100.0,40.0,4.47,158.38,53.19
131,hilo,US,70.45,69.0,90.0,6.93,-155.09,19.73
132,ushuaia,AR,33.8,86.0,75.0,20.8,-68.3,-54.8
133,ballachulish,GB,51.31,87.0,75.0,14.99,-5.13,56.68
134,husavik,IS,44.6,81.0,90.0,3.36,-17.34,66.04
135,trairi,BR,87.48,49.0,13.0,17.9,-39.27,-3.28
137,hastings,GB,63.1,82.0,91.0,17.22,0.57,50.86
138,shaoyang,CN,67.26,88.0,92.0,2.21,111.45,27.23
139,nuuk,GL,33.39,40.0,20.0,11.41,-51.72,64.18
141,carnarvon,AU,66.2,93.0,0.0,17.22,113.63,-24.87
143,hamilton,US,64.06,55.0,20.0,20.8,-84.53,39.18
145,vao,NC,67.33,68.0,25.0,18.68,167.48,-22.67
146,seoul,KR,62.6,88.0,75.0,4.85,126.98,37.57
147,codrington,AU,44.6,85.0,7.0,11.12,141.97,-38.27
148,nikolskoye,RU,54.01,76.0,40.0,4.47,30.79,59.7
149,niono,ML,101.55,22.0,54.0,6.76,-5.99,14.25
151,kodiak,US,53.6,87.0,90.0,27.51,-152.41,57.79
154,priargunsk,RU,41.45,67.0,89.0,4.41,119.1,50.37
156,cabatuan,PH,77.0,88.0,100.0,2.01,122.49,10.88
158,lazaro cardenas,MX,82.58,77.0,49.0,4.34,-102.2,17.96
160,kaitangata,NZ,44.01,81.0,26.0,4.0,169.85,-46.28
163,baykit,RU,32.81,94.0,100.0,5.08,96.37,61.67
164,longyearbyen,SJ,37.4,86.0,75.0,8.05,15.64,78.22
166,beringovskiy,RU,39.78,77.0,62.0,2.39,179.32,63.05
169,san jeronimo,PE,57.78,46.0,47.0,2.53,-75.28,-11.95
170,bayburt,TR,63.57,44.0,85.0,3.83,40.23,40.26
171,dancheng,CN,67.5,75.0,80.0,5.75,115.18,33.63
173,kruisfontein,ZA,60.01,70.0,1.0,8.99,24.73,-34.0
175,lira,UG,69.39,88.0,100.0,4.14,32.91,2.23
178,dhupgari,IN,78.8,94.0,75.0,2.24,89.01,26.59
179,port lincoln,AU,50.11,76.0,41.0,5.41,135.87,-34.73
186,rio pardo,BR,85.14,66.0,79.0,4.21,-52.38,-29.99
188,sibu,MY,77.0,94.0,20.0,6.93,111.82,2.3
189,waipawa,NZ,39.47,80.0,0.0,5.82,175.52,-41.41
192,kabakovo,RU,50.0,81.0,0.0,4.47,56.15,54.54
193,karratha,AU,72.72,52.0,0.0,8.43,116.85,-20.74
196,faya,SA,71.6,56.0,34.0,8.05,42.45,18.39
199,vologda,RU,51.93,82.0,45.0,7.7,39.89,59.22
201,sao francisco do sul,BR,82.69,69.0,20.0,2.24,-48.64,-26.24
202,upernavik,GL,24.98,94.0,100.0,9.62,-56.15,72.79
205,bunia,CD,66.76,90.0,98.0,3.24,30.25,1.57
206,puerto ayora,EC,68.02,83.0,90.0,16.11,-90.35,-0.74
207,cabinda,AO,82.4,65.0,40.0,9.17,12.2,-5.55
210,westport,US,65.71,59.0,75.0,13.87,-73.36,41.14
213,noumea,NC,57.2,76.0,62.0,1.12,166.46,-22.28
215,lagos,NG,78.8,85.0,100.0,4.92,3.75,6.58
216,valdivia,CL,50.0,81.0,75.0,6.93,-73.25,-39.81
217,sungurlare,BG,64.33,42.0,40.0,6.93,26.78,42.77
219,petauke,ZM,85.08,28.0,8.0,7.23,31.33,-14.24
220,ust-ishim,RU,46.9,95.0,100.0,3.76,71.17,57.69
221,yumen,CN,43.32,51.0,0.0,5.57,97.2,40.28
223,lokosovo,RU,44.65,94.0,100.0,5.41,74.82,61.13
226,myszkow,PL,55.17,93.0,75.0,8.05,19.32,50.58
228,north bend,US,56.53,100.0,90.0,5.82,-124.22,43.41
229,sredniye achaluki,RU,59.5,67.0,75.0,11.18,44.73,43.37
231,atbasar,KZ,46.11,53.0,0.0,5.59,68.33,51.8
233,saskylakh,RU,27.36,93.0,77.0,3.09,114.08,71.92
234,quatre cocos,MU,72.34,83.0,75.0,4.7,57.76,-20.21
235,pisco,PE,66.54,82.0,14.0,11.41,-76.22,-13.7
236,bubaque,GW,83.64,79.0,79.0,9.06,-15.83,11.28
237,aliquippa,US,57.9,62.0,75.0,19.46,-80.24,40.64
240,ossora,RU,41.18,87.0,62.0,2.53,163.07,59.24
241,udankudi,IN,82.04,69.0,16.0,17.6,78.02,8.43
243,saint anthony,US,57.51,54.0,40.0,17.22,-93.22,45.02
244,ribeira grande,PT,73.4,73.0,75.0,12.75,-28.7,38.52
248,taozhuang,CN,64.72,71.0,100.0,7.96,117.33,34.85
250,keetmanshoop,NA,82.0,11.0,0.0,20.4,18.13,-26.58
251,sorland,NO,53.6,93.0,75.0,6.93,12.69,67.67
255,khatanga,RU,22.42,97.0,0.0,6.6,102.5,71.97
258,chaman,PK,55.42,30.0,25.0,1.48,66.45,30.92
259,tuatapere,NZ,39.0,94.0,38.0,1.01,167.68,-46.13
260,port alfred,ZA,65.82,72.0,0.0,16.53,26.89,-33.59
262,dogondoutchi,NE,96.42,33.0,30.0,5.44,4.03,13.64
264,half moon bay,US,60.08,93.0,90.0,9.17,-122.43,37.46
265,surin,TH,82.0,82.0,87.0,4.72,103.49,14.88
266,newport,GB,56.64,98.0,100.0,1.01,-3.0,51.59
268,praia,CV,84.2,70.0,75.0,13.87,-23.51,14.92
269,ponta do sol,PT,72.09,64.0,40.0,11.41,-17.1,32.67
271,hofn,IS,44.6,87.0,90.0,6.93,-15.21,64.25
274,victoria,HK,78.75,90.0,100.0,1.01,114.16,22.29
277,yining,CN,64.99,88.0,48.0,2.04,114.56,29.04
279,avarua,CK,75.2,94.0,36.0,21.92,-159.78,-21.21
280,luderitz,NA,59.94,64.0,0.0,34.09,15.16,-26.65
281,fort-shevchenko,KZ,64.8,37.0,0.0,13.94,50.26,44.51
282,ponta delgada,PT,69.8,73.0,40.0,13.87,-25.67,37.73
288,port moresby,PG,74.64,89.0,95.0,13.02,147.18,-9.44
295,apatzingan,MX,80.46,63.0,75.0,2.53,-102.35,19.08
299,ridgecrest,US,77.77,15.0,0.0,1.25,-117.67,35.62
302,padang,ID,78.8,80.0,88.0,3.91,100.35,-0.95
303,namatanai,PG,79.03,82.0,45.0,3.69,152.43,-3.67
309,monopoli,IT,68.5,42.0,20.0,8.05,17.29,40.96
311,farah,AF,51.66,34.0,0.0,2.42,62.5,32.5
312,orhangazi,TR,67.08,68.0,40.0,4.7,29.31,40.49
315,neiafu,TO,78.8,94.0,75.0,6.93,-173.98,-18.65
320,samana,DO,86.0,79.0,40.0,4.7,-69.34,19.21
321,bako,ET,65.71,88.0,75.0,3.0,36.57,5.78
325,ambilobe,MG,76.86,81.0,78.0,3.4,49.05,-13.2
326,inverbervie,GB,51.91,93.0,90.0,16.11,-2.28,56.84
332,setermoen,NO,50.0,93.0,75.0,13.87,18.35,68.86
333,bartica,GY,91.4,59.0,75.0,2.24,-58.62,6.4
334,pestravka,RU,57.54,55.0,24.0,7.07,49.96,52.41
339,olafsvik,IS,39.76,73.0,83.0,15.93,-23.71,64.89
344,manati,PR,87.73,62.0,75.0,5.99,-66.49,18.43
345,davila,PH,78.8,100.0,75.0,2.24,120.58,18.47
346,pangani,TZ,77.47,77.0,24.0,6.87,38.97,-5.43
349,harper,LR,78.24,85.0,93.0,10.45,-7.72,4.38
350,wolgast,DE,63.61,77.0,33.0,5.82,13.77,54.05
352,charlestown,AU,60.91,68.0,54.0,7.92,151.67,-32.95
353,charters towers,AU,63.39,84.0,0.0,9.82,146.27,-20.1
354,henties bay,NA,57.0,83.0,30.0,5.99,14.28,-22.12
356,mount isa,AU,78.8,22.0,0.0,14.99,139.5,-20.73
364,thompson,CA,37.4,93.0,90.0,12.75,-97.86,55.74
365,athabasca,CA,44.2,73.0,6.0,6.71,-113.29,54.72
366,marshfield,US,50.0,87.0,90.0,13.87,-90.17,44.67
370,norman wells,CA,35.6,100.0,20.0,5.82,-126.83,65.28
372,imbituba,BR,82.4,54.0,40.0,19.46,-48.67,-28.24
376,lasa,IT,57.81,58.0,20.0,3.36,10.7,46.62
379,oparino,RU,48.92,90.0,100.0,5.39,48.28,59.85
380,oranjemund,NA,57.06,74.0,2.0,24.36,16.43,-28.55
382,wenzhou,CN,71.01,71.0,35.0,2.75,120.67,28.0
383,san vicente,AR,97.7,23.0,0.0,8.28,-54.13,-26.62
389,grand gaube,MU,73.0,75.0,0.0,1.99,57.66,-20.01
390,tazovskiy,RU,36.41,82.0,98.0,3.71,78.7,67.47
391,san patricio,MX,91.4,75.0,40.0,2.93,-104.7,19.22
395,rafai,CF,74.52,94.0,94.0,2.33,23.92,4.95
397,acapulco,MX,84.2,79.0,75.0,0.65,-99.89,16.86
403,tuktoyaktuk,CA,32.0,86.0,90.0,6.93,-133.04,69.45
404,shumskiy,RU,28.42,94.0,62.0,2.33,99.13,54.83
405,esna,EG,104.0,17.0,0.0,3.36,32.55,25.29
406,torbay,CA,76.03,73.0,75.0,24.16,-52.73,47.67
407,belyy,RU,52.45,69.0,31.0,6.96,32.94,55.84
408,tecoanapa,MX,84.29,69.0,45.0,6.2,-98.75,16.52
411,hualmay,PE,68.2,65.0,61.0,10.42,-77.61,-11.1
412,mahebourg,MU,71.6,83.0,75.0,4.7,57.7,-20.41
416,lichinga,MZ,72.91,34.0,100.0,4.74,35.24,-13.31
417,cidreira,BR,74.3,79.0,76.0,5.39,-50.21,-30.18
418,reading,GB,58.08,93.0,75.0,18.34,-0.97,51.46
419,finschhafen,PG,78.51,76.0,98.0,8.81,147.87,-6.6
421,mehamn,NO,50.0,87.0,99.0,6.93,27.85,71.04
428,ouadda,CF,72.34,89.0,88.0,4.54,22.4,8.08
432,ihosy,MG,74.44,47.0,66.0,5.64,46.12,-22.4
436,asfi,MA,71.8,73.0,15.0,14.0,-9.24,32.3
437,brae,GB,53.6,87.0,90.0,29.97,-1.35,60.4
438,severo-kurilsk,RU,50.13,81.0,100.0,2.77,156.12,50.68
441,belyy yar,RU,33.8,80.0,98.0,2.24,91.39,53.6
442,maarianhamina,AX,55.4,87.0,40.0,3.36,19.93,60.1
443,honningsvag,NO,51.8,81.0,75.0,19.46,25.97,70.98
445,muhos,FI,55.2,82.0,90.0,5.82,25.99,64.81
446,nalut,LY,93.79,15.0,0.0,11.3,10.85,30.33
450,majene,ID,79.52,82.0,100.0,9.64,118.97,-3.54
451,nizhniy ingash,RU,30.45,93.0,85.0,4.29,96.53,56.2
453,that phanom,TH,77.7,88.0,58.0,3.47,104.71,16.94
461,proddatur,IN,79.88,77.0,100.0,3.44,78.55,14.73
464,srikakulam,IN,77.95,84.0,100.0,6.67,83.9,18.3
465,jiuquan,CN,51.66,45.0,0.0,1.16,98.52,39.74
466,ucluelet,CA,59.0,93.0,75.0,2.24,-125.55,48.93
471,disna,BY,55.31,73.0,64.0,9.06,28.2,55.57
474,port blair,IN,81.61,82.0,93.0,16.04,92.75,11.67
477,suoyarvi,RU,50.2,87.0,98.0,2.89,32.35,62.08
481,lorengau,PG,81.86,76.0,48.0,6.02,147.27,-2.02
482,poum,NC,70.52,72.0,35.0,20.27,164.02,-20.23
484,virginia beach,US,68.41,56.0,20.0,11.41,-75.98,36.85
486,morlaix,FR,59.0,93.0,100.0,18.34,-4.0,48.58
487,bacolod,PH,79.07,83.0,100.0,5.32,122.95,10.67
489,vardo,NO,50.0,87.0,75.0,10.29,31.11,70.37
490,jand,PK,85.26,26.0,3.0,8.46,72.02,33.43
492,valuyki,RU,66.97,27.0,100.0,19.48,38.11,50.2
496,russell,US,69.87,49.0,1.0,4.79,-85.2,32.35
499,daru,PG,76.87,84.0,100.0,17.05,143.21,-9.08
500,isangel,VU,69.8,79.0,8.0,13.65,169.27,-19.55
504,necochea,AR,69.01,41.0,69.0,10.0,-58.74,-38.55
505,miquelon,PM,60.4,100.0,90.0,16.11,-56.38,47.1
508,gazanjyk,TM,59.38,31.0,0.0,10.4,55.52,39.24
511,deputatskiy,RU,26.96,93.0,21.0,20.6,139.9,69.3
512,tromso,NO,48.2,93.0,40.0,9.17,18.96,69.65
514,huaihua,CN,63.81,94.0,76.0,1.79,109.96,27.55
521,cajamarca,PE,66.2,45.0,75.0,4.7,-78.5,-7.16
525,rovaniemi,FI,51.8,93.0,90.0,3.36,25.72,66.5
526,lulea,SE,51.8,100.0,90.0,5.82,22.15,65.58
529,ballina,AU,58.91,77.0,6.0,8.05,153.57,-28.87
530,cap malheureux,MU,73.0,75.0,0.0,1.99,57.61,-19.98
531,tongliao,CN,48.49,62.0,63.0,6.2,122.27,43.61
532,izhmorskiy,RU,35.8,85.0,100.0,8.57,86.64,56.19
537,del rio,US,73.4,31.0,1.0,6.93,-100.9,29.36
539,el carmen,CO,83.66,57.0,100.0,3.38,-73.45,8.51
540,pemangkat,ID,78.76,84.0,79.0,6.62,108.97,1.17
543,the valley,AI,87.3,74.0,40.0,17.22,-63.06,18.22
544,kimbe,PG,76.46,82.0,100.0,4.74,150.14,-5.55
545,mahibadhoo,MV,82.24,76.0,94.0,6.64,72.97,3.78
546,coihaique,CL,46.4,49.0,75.0,8.05,-72.07,-45.58
549,te anau,NZ,36.09,88.0,50.0,1.52,167.72,-45.42
550,geraldton,AU,60.8,82.0,90.0,6.93,114.6,-28.77
551,vestmannaeyjar,IS,42.8,75.0,75.0,11.41,-20.27,63.44
553,mossendjo,CG,83.84,52.0,94.0,5.26,12.73,-2.95
558,macklin,CA,45.1,63.0,0.0,14.83,-109.93,52.33
559,mount gambier,AU,44.6,93.0,88.0,9.17,140.77,-37.83
560,cherskiy,RU,38.86,75.0,100.0,10.02,161.3,68.75
563,praia da vitoria,PT,71.96,88.0,75.0,16.44,-27.07,38.73
565,bulgan,MN,32.56,89.0,100.0,4.34,103.53,48.81
569,huarmey,PE,68.92,65.0,36.0,10.74,-78.15,-10.07
571,muroto,JP,70.97,71.0,100.0,3.22,134.15,33.28
575,borogontsy,RU,33.22,92.0,100.0,4.23,131.17,62.67
577,boguchany,RU,32.4,91.0,100.0,4.16,97.45,58.38
578,bar harbor,US,65.86,94.0,90.0,33.33,-68.2,44.39
579,bogovarovo,RU,50.32,85.0,100.0,5.19,47.02,58.98
586,aksarka,RU,47.03,85.0,100.0,6.53,67.8,66.56
588,tessalit,ML,104.79,7.0,0.0,14.79,1.01,20.2
590,naze,JP,75.2,88.0,75.0,11.41,129.48,28.37
593,shingu,JP,66.25,82.0,100.0,2.8,135.98,33.73
595,manjacaze,MZ,68.59,86.0,100.0,8.86,33.88,-24.71
597,adrar,MR,102.51,10.0,0.0,14.56,-10.07,20.5
598,bandarbeyla,SO,79.57,75.0,34.0,24.94,50.81,9.49
603,susaki,JP,64.42,81.0,18.0,4.23,133.28,33.37
604,vestmanna,FO,48.2,100.0,85.0,27.51,-7.17,62.16
607,tupik,RU,34.39,88.0,38.0,1.83,119.93,54.43
608,port macquarie,AU,52.0,97.0,45.0,8.93,152.92,-31.43
610,fallon,US,64.2,27.0,1.0,4.85,-118.78,39.47
614,maihar,IN,77.92,46.0,73.0,2.84,80.75,24.27
615,dingzhou,CN,60.8,93.0,90.0,2.24,115.0,38.51
619,bambous virieux,MU,72.27,83.0,75.0,4.7,57.76,-20.34
621,dikson,RU,35.35,86.0,100.0,18.32,80.55,73.51
623,madimba,TZ,77.0,73.0,20.0,5.82,40.33,-10.4
624,ilulissat,GL,28.4,50.0,20.0,6.93,-51.1,69.22
625,suslovo,RU,35.64,83.0,100.0,7.56,88.12,56.22
626,petlad,IN,86.0,70.0,20.0,3.36,72.8,22.47
627,kutum,SD,88.61,24.0,88.0,0.54,24.67,14.2
630,canete,CL,52.11,48.0,31.0,6.44,-73.4,-37.8
634,lagoa,PT,69.64,81.0,100.0,15.21,-27.98,39.05
638,nanortalik,GL,34.81,81.0,100.0,6.4,-45.24,60.14
639,flinders,AU,60.42,82.0,99.0,1.99,150.86,-34.58
640,beloha,MG,67.62,79.0,47.0,12.26,45.05,-25.17
643,paracuru,BR,82.0,68.0,25.0,25.01,-39.03,-3.41
649,margate,GB,62.37,79.0,89.0,5.99,1.39,51.38
650,boyuibe,BO,98.6,19.0,0.0,6.93,-63.28,-20.42
651,matara,LK,77.88,86.0,98.0,9.24,80.54,5.95
654,lethem,GY,94.35,41.0,78.0,8.34,-59.8,3.38
655,iracoubo,GF,85.23,69.0,11.0,11.95,-53.2,5.48
657,sola,VU,80.6,83.0,90.0,5.82,167.55,-13.88
659,guerrero negro,MX,86.59,36.0,0.0,1.77,-114.06,27.98
664,tocopilla,CL,68.49,50.0,23.0,9.19,-70.2,-22.09
665,ancud,CL,48.11,66.0,75.0,6.93,-73.82,-41.87
674,glendive,US,53.8,34.0,1.0,19.46,-104.71,47.11
676,nome,US,40.8,70.0,90.0,14.99,-165.41,64.5
677,wasilla,US,49.46,57.0,75.0,19.46,-149.44,61.58
680,belaya gora,RU,32.49,85.0,52.0,10.11,146.42,68.53
687,yangjiang,CN,78.76,88.0,100.0,5.59,111.97,21.85
688,bati,ET,71.74,62.0,100.0,5.21,40.02,11.18
690,durango,MX,60.12,49.0,0.0,2.89,-104.83,24.83
692,cockburn town,TC,87.8,70.0,40.0,13.87,-71.14,21.46
693,sao miguel do araguaia,BR,104.61,13.0,19.0,11.39,-50.16,-13.28
700,tipp city,US,62.28,48.0,75.0,23.04,-84.17,39.96
701,maceio,BR,84.2,54.0,40.0,13.87,-35.74,-9.67
702,auki,SB,77.47,85.0,64.0,4.83,160.7,-8.77
703,voh,NC,63.25,80.0,19.0,5.39,164.7,-20.97
704,griffith,US,60.53,63.0,90.0,19.46,-87.42,41.53
707,pevek,RU,35.78,84.0,0.0,13.85,170.31,69.7
710,progreso,MX,81.32,88.0,75.0,15.68,-89.67,21.28
714,nicholasville,US,62.6,59.0,1.0,19.46,-84.57,37.88
716,kavieng,PG,81.45,75.0,98.0,3.91,150.8,-2.57
720,rauma,FI,53.6,81.0,19.0,2.24,21.51,61.13
722,shimanovsk,RU,42.75,80.0,46.0,5.48,127.7,52.0
725,kudahuvadhoo,MV,83.35,73.0,100.0,6.38,72.89,2.67
