,City,Country,Temperature,Humidity %,Cloudiness %,Windspeed(mph),Longitude,Latitude
726,martinopolis,BR,102.2,14.0,0.0,12.75,-51.17,-22.15
730,mayumba,GA,77.32,73.0,100.0,8.14,10.66,-3.43
733,fortuna,US,57.72,100.0,90.0,3.36,-124.16,40.6
738,kiunga,PG,71.62,98.0,88.0,1.83,141.29,-6.12
739,skagen,DK,60.28,82.0,95.0,10.0,10.58,57.72
747,date,JP,60.22,78.0,100.0,1.59,140.87,42.47
753,houma,US,75.2,41.0,1.0,1.97,-90.72,29.6
754,rodino,RU,39.61,68.0,57.0,4.43,80.25,52.5
755,darnah,LY,74.57,68.0,0.0,17.47,22.64,32.77
757,talnakh,RU,28.4,92.0,40.0,4.47,88.4,69.49
758,sorata,BO,53.33,63.0,40.0,7.49,-68.63,-15.77
762,port-gentil,GA,82.4,69.0,40.0,18.34,8.78,-0.72
764,conakry,GN,82.62,80.0,71.0,11.23,-13.68,9.54
765,antigonish,CA,74.25,90.0,36.0,8.01,-62.0,45.62
767,ternate,ID,81.23,75.0,78.0,4.74,127.4,0.8
771,manaus,BR,91.4,59.0,40.0,5.82,-60.02,-3.1
773,mahon,ES,73.4,60.0,20.0,8.05,4.27,39.89
777,safranbolu,TR,58.55,78.0,5.0,3.98,32.69,41.25
780,ayaviri,PE,52.84,47.0,86.0,2.35,-70.59,-14.89
782,ust-tsilma,RU,47.64,86.0,11.0,4.52,52.15,65.44
784,zhezkazgan,KZ,50.0,31.0,100.0,11.18,67.71,47.8
785,wajima,JP,67.95,71.0,100.0,6.02,136.9,37.4
787,hasaki,JP,63.84,93.0,75.0,5.82,140.83,35.73
788,beinamar,TD,79.29,82.0,77.0,3.94,15.38,8.67
792,aktash,RU,20.59,96.0,16.0,2.62,87.73,50.3
796,wanning,CN,80.69,85.0,33.0,3.18,110.4,18.8
798,nampula,MZ,84.09,45.0,0.0,12.75,39.27,-15.12
801,saint george,US,69.46,15.0,1.0,2.01,-113.58,37.1
808,pangnirtung,CA,35.6,43.0,5.0,2.24,-65.71,66.15
810,synya,RU,46.27,93.0,0.0,5.77,58.04,65.37
813,les cayes,HT,85.12,73.0,66.0,11.21,-73.75,18.2
817,kineta,GR,75.65,31.0,0.0,5.88,23.22,37.97
818,souillac,MU,71.6,83.0,75.0,4.7,57.52,-20.52
819,camacha,PT,73.4,64.0,40.0,13.87,-16.33,33.08
822,skjervoy,NO,48.2,87.0,75.0,2.24,20.97,70.03
823,kokopo,PG,76.3,85.0,72.0,6.78,152.26,-4.35
825,inverell,AU,45.16,97.0,32.0,5.5,151.12,-29.78
829,hovd,MN,38.66,71.0,36.0,2.89,91.64,48.01
836,palana,RU,40.3,96.0,99.0,11.95,159.97,59.12
839,bathsheba,BB,89.6,70.0,75.0,19.46,-59.52,13.22
847,bac,RS,63.28,59.0,75.0,14.99,19.24,45.39
853,ciomagesti,RO,58.19,58.0,100.0,12.97,24.45,44.83
854,sampit,ID,76.08,91.0,97.0,1.63,112.95,-2.53
857,fergus falls,US,55.06,58.0,1.0,20.8,-96.08,46.28
861,odweyne,SO,76.66,61.0,100.0,14.99,45.06,9.41
864,linares,CL,51.04,72.0,100.0,4.07,-71.6,-35.85
868,salinas,US,57.97,93.0,90.0,3.36,-121.66,36.68
869,nagua,DO,86.0,79.0,40.0,6.93,-69.85,19.38
873,sungairaya,ID,79.59,82.0,85.0,4.29,108.9,0.7
874,buraydah,SA,87.8,23.0,0.0,5.82,43.98,26.33
877,lumphat,KH,74.41,89.0,79.0,1.1,106.98,13.49
878,rio gallegos,AR,37.4,69.0,40.0,29.97,-69.22,-51.62
889,narsaq,GL,33.8,43.0,75.0,1.12,-46.05,60.92
892,fort nelson,CA,35.6,80.0,20.0,3.36,-122.7,58.81
896,tautira,PF,77.0,78.0,75.0,6.93,-149.15,-17.73
897,morehead,US,72.01,40.0,1.0,11.41,-87.18,37.27
898,inhambane,MZ,71.29,94.0,75.0,9.17,35.38,-23.86
907,sechura,PE,72.43,59.0,88.0,7.7,-80.82,-5.56
908,taybad,IR,50.05,38.0,0.0,6.87,60.78,34.74
910,lang son,VN,76.44,91.0,88.0,2.26,106.73,21.83
913,yong peng,MY,75.72,93.0,19.0,1.81,103.07,2.01
916,micheweni,TZ,77.95,78.0,13.0,10.56,39.83,-4.97
917,agua dulce,MX,77.0,78.0,90.0,11.41,-94.13,18.13
921,goure,NE,91.99,47.0,71.0,4.0,10.27,13.98
923,ambon,ID,79.92,83.0,86.0,7.25,128.18,-3.7
932,katyuzhanka,UA,53.31,100.0,100.0,8.95,30.14,50.81
933,riacho de santana,BR,97.14,17.0,0.0,15.84,-42.94,-13.61
936,pochutla,MX,84.2,70.0,40.0,3.31,-96.47,15.74
937,bayonne,FR,66.7,72.0,43.0,6.93,-1.42,43.33
938,filadelfia,US,66.67,55.0,40.0,19.46,-75.16,39.95
939,inegol,TR,66.2,68.0,40.0,4.7,29.51,40.08
940,bara,NG,82.29,65.0,92.0,3.02,10.73,10.37
946,walvis bay,NA,58.08,67.0,20.0,17.22,14.51,-22.96
948,tura,IN,76.39,88.0,19.0,1.52,90.22,25.52
950,salalah,OM,78.8,83.0,20.0,3.36,54.09,17.02
953,chara,RU,36.64,82.0,74.0,1.19,118.26,56.91
954,rio bravo,MX,79.93,27.0,5.0,3.36,-98.1,25.98
955,ust-maya,RU,34.14,92.0,22.0,2.66,134.53,60.42
974,san cristobal,VE,87.8,43.0,40.0,16.11,-72.22,7.77
978,college,US,49.78,37.0,75.0,11.41,-147.8,64.86
979,tezu,IN,79.36,67.0,2.0,3.09,96.17,27.92
980,turukhansk,RU,28.54,96.0,8.0,10.29,87.98,65.82
981,esperance,AU,60.8,67.0,0.0,11.41,121.9,-33.87
982,yei,SS,70.84,90.0,100.0,2.44,30.68,4.09
983,sitka,US,69.8,40.0,40.0,23.04,-135.33,57.05
986,chapais,CA,48.2,93.0,90.0,3.36,-74.85,49.78
987,banjar,ID,80.6,100.0,40.0,12.75,114.97,-8.19
988,grindavik,IS,41.0,75.0,75.0,10.29,-22.43,63.84
989,ahipara,NZ,48.22,80.0,5.0,2.8,173.17,-35.17
992,jiujiang,CN,69.46,74.0,25.0,7.0,115.98,29.73
993,sur,OM,83.43,59.0,0.0,4.36,59.53,22.57
995,sarmizegetusa,RO,50.88,84.0,100.0,3.0,22.78,45.52
999,mastic beach,US,65.44,73.0,76.0,5.01,-72.85,40.77
1007,rochester,US,58.87,72.0,75.0,13.87,-77.62,43.15
1008,faanui,PF,78.58,78.0,5.0,24.49,-151.75,-16.48
1010,pasighat,IN,78.46,74.0,2.0,3.2,95.33,28.07
1012,nizhniy kuranakh,RU,43.56,77.0,100.0,4.03,125.49,58.84
1016,araouane,ML,106.61,9.0,14.0,7.49,-3.53,18.9
1018,mayo,US,66.74,52.0,1.0,10.29,-76.51,38.89
1022,panzhihua,CN,72.07,77.0,21.0,1.3,101.71,26.59
1026,lakhdenpokhya,RU,48.0,89.0,25.0,3.4,30.2,61.52
1031,buala,SB,79.77,84.0,39.0,8.86,159.59,-8.14
1034,kungurtug,RU,28.33,94.0,99.0,3.42,97.52,50.6
1037,ust-koksa,RU,29.77,92.0,23.0,1.57,85.61,50.27
1039,gamba,GA,76.42,75.0,82.0,8.39,10.0,-2.65
1040,nemuro,JP,56.82,87.0,25.0,14.34,145.57,43.32
1041,vilyuysk,RU,27.97,93.0,100.0,1.12,121.62,63.76
1046,victor harbor,AU,46.0,90.0,35.0,7.14,138.62,-35.57
1054,muscat,OM,86.0,79.0,0.0,3.36,58.59,23.61
1056,chabahar,IR,84.2,74.0,20.0,6.64,60.64,25.29
1061,nidzica,PL,60.8,72.0,40.0,10.29,20.43,53.36
1062,port jervis,US,60.91,74.0,38.0,1.01,-74.69,41.38
1063,nyurba,RU,25.32,93.0,42.0,2.08,118.33,63.28
1068,kashary,RU,63.55,30.0,66.0,16.44,41.01,49.04
1069,requena,ES,79.0,23.0,99.0,4.0,-1.1,39.49
1073,nizhneudinsk,RU,28.42,94.0,65.0,2.57,99.03,54.91
1079,altea,ES,72.01,74.0,100.0,5.01,-0.05,38.6
1084,kodinsk,RU,31.75,89.0,97.0,3.27,99.18,58.69
1085,shakawe,BW,84.47,27.0,73.0,8.08,21.85,-18.37
1089,talcahuano,CL,55.4,54.0,20.0,11.41,-73.12,-36.72
1090,taoudenni,ML,109.74,6.0,5.0,11.23,-3.98,22.68
1091,yulara,AU,66.2,29.0,0.0,6.93,130.99,-25.24
1097,helena,US,54.1,35.0,1.0,6.93,-112.04,46.59
1098,sembe,CG,73.65,91.0,96.0,2.48,14.58,1.65
1099,plaster rock,CA,72.16,78.0,90.0,27.51,-67.39,46.91
1103,pizhanka,RU,51.4,89.0,98.0,6.44,48.54,57.46
1104,wyndham,US,66.24,52.0,1.0,11.41,-77.61,37.7
1109,smithers,CA,53.6,81.0,75.0,4.7,-127.17,54.78
1110,sharjah,AE,94.57,56.0,0.0,2.24,55.4,25.36
1111,fairbanks,US,49.77,39.0,1.0,11.41,-147.72,64.84
1113,minsk,BY,57.2,71.0,40.0,6.71,27.57,53.9
1115,constitucion,CL,54.63,59.0,93.0,11.54,-72.42,-35.33
1120,nouadhibou,MR,78.8,65.0,0.0,18.34,-17.03,20.93
1123,sao felix do xingu,BR,90.16,46.0,69.0,4.92,-51.99,-6.64
1133,portland,US,61.12,100.0,40.0,0.76,-122.68,45.52
1135,kichera,RU,32.94,88.0,100.0,5.59,110.1,55.94
1138,zyryanka,RU,40.06,65.0,66.0,15.43,150.85,65.75
1140,leningradskiy,RU,32.67,88.0,94.0,3.49,178.42,69.38
1143,ayagoz,KZ,33.49,89.0,0.0,14.67,80.44,47.97
1145,torit,SS,71.82,92.0,98.0,1.01,32.57,4.41
1146,tenenkou,ML,103.03,19.0,45.0,8.1,-4.92,14.46
1149,oistins,BB,89.6,70.0,75.0,19.46,-59.53,13.07
1151,sayat,TM,60.8,29.0,0.0,4.7,63.88,38.78
1157,urucui,BR,104.56,15.0,15.0,9.8,-44.56,-7.23
1160,lompoc,US,58.21,87.0,1.0,8.75,-120.46,34.64
1167,garowe,SO,78.67,65.0,90.0,10.42,48.48,8.41
1169,sao geraldo do araguaia,BR,97.05,34.0,56.0,7.36,-48.55,-6.4
1171,sungurlu,TR,65.43,29.0,0.0,3.33,34.37,40.17
1177,lavrentiya,RU,33.08,91.0,40.0,7.99,-171.0,65.58
1179,sakakah,SA,91.4,13.0,2.0,4.7,40.21,29.97
1182,vila franca do campo,PT,69.8,73.0,40.0,13.87,-25.43,37.72
1183,aljezur,PT,70.0,79.0,90.0,1.99,-8.8,37.32
1185,catamarca,AR,94.8,10.0,0.0,7.56,-65.79,-28.47
1187,vostok,RU,37.11,96.0,100.0,1.68,135.88,46.49
1188,maningrida,AU,72.91,84.0,59.0,8.03,134.27,-12.07
1196,galle,LK,79.25,83.0,98.0,10.31,80.22,6.04
1197,muzhi,RU,47.3,82.0,0.0,8.14,64.67,65.37
1200,gushikawa,JP,76.44,69.0,75.0,9.17,127.87,26.35
1206,ranong,TH,79.7,84.0,89.0,6.51,98.63,9.97
1210,chernyakhovsk,RU,57.94,80.0,100.0,9.8,21.82,54.63
1211,mackay,AU,62.26,82.0,40.0,5.82,149.2,-21.15
1212,korem,ET,58.78,51.0,94.0,6.24,39.52,12.51
1213,omboue,GA,77.02,76.0,61.0,8.48,9.26,-1.57
1219,itarema,BR,86.09,54.0,5.0,20.96,-39.92,-2.92
1220,sambava,MG,73.81,92.0,58.0,5.48,50.17,-14.27
1221,beisfjord,NO,53.6,76.0,75.0,5.82,17.6,68.38
1223,prieska,ZA,69.22,15.0,0.0,12.55,22.75,-29.66
1224,klaksvik,FO,48.2,100.0,88.0,27.51,-6.59,62.23
1226,lakatoro,VU,78.8,74.0,90.0,14.99,167.42,-16.1
1227,vieste,IT,69.39,56.0,20.0,9.17,16.18,41.88
1230,panaba,MX,81.19,85.0,99.0,5.99,-88.27,21.28
1233,kayseri,TR,69.8,49.0,20.0,6.93,35.5,38.74
1234,puerto escondido,MX,86.0,66.0,40.0,9.17,-97.07,15.85
1250,puerto ayacucho,VE,89.6,55.0,40.0,8.05,-67.62,5.66
1256,middelburg,ZA,62.51,61.0,39.0,17.31,29.46,-25.78
1257,rioblanco,CO,75.99,51.0,79.0,4.79,-75.68,3.53
1261,kieta,PG,78.6,77.0,44.0,2.1,155.63,-6.22
1266,novoagansk,RU,37.6,90.0,92.0,4.7,76.66,61.94
1276,torrevieja,ES,73.18,77.0,100.0,5.01,-0.68,37.98
1277,christchurch,NZ,37.89,76.0,1.0,8.05,172.63,-43.53
1278,barra dos coqueiros,BR,84.2,54.0,75.0,11.41,-37.04,-10.91
1280,nizhneangarsk,RU,33.21,85.0,88.0,8.72,109.55,55.78
1281,isiro,CD,70.03,94.0,84.0,2.51,27.62,2.77
1292,albanel,CA,51.8,93.0,90.0,12.75,-72.45,48.88
1293,evansville,US,73.36,37.0,1.0,17.22,-87.56,37.97
1302,mbandaka,CD,76.32,85.0,99.0,1.21,18.26,0.05
1308,vanimo,PG,79.05,78.0,93.0,0.83,141.3,-2.67
1309,ixtapa,MX,84.2,74.0,5.0,4.7,-105.2,20.7
1311,palmer,US,64.08,63.0,75.0,17.22,-72.33,42.16
1312,mutsu,JP,56.39,87.0,75.0,4.7,141.22,41.29
1313,acarau,BR,87.4,50.0,14.0,21.74,-40.12,-2.89
1317,oltu,TR,60.96,58.0,68.0,2.66,42.0,40.55
1326,olaine,LV,60.8,77.0,88.0,8.05,23.94,56.79
1335,kishtwar,IN,55.72,39.0,0.0,3.49,75.77,33.32
1341,constantine,DZ,80.6,44.0,40.0,9.17,6.61,36.37
1343,saint-augustin,CA,61.88,91.0,100.0,19.82,-58.65,51.23
1354,bardiyah,LY,73.27,76.0,0.0,13.73,25.09,31.76
1355,yadrin,RU,53.19,78.0,99.0,7.0,46.21,55.94
1361,hays,US,79.32,35.0,0.0,1.99,-98.03,30.05
1362,mezhdurechensk,RU,34.5,90.0,100.0,3.0,88.06,53.69
1368,novyy urengoy,RU,36.03,92.0,77.0,3.09,76.63,66.08
1376,benicarlo,ES,69.01,78.0,71.0,5.01,0.43,40.42
1377,erenhot,CN,49.5,48.0,0.0,28.07,111.98,43.65
1378,jalu,LY,89.82,27.0,0.0,9.4,21.55,29.03
1379,whyalla,AU,51.8,93.0,31.0,5.82,137.58,-33.03
1384,marsa matruh,EG,78.8,65.0,40.0,11.41,27.25,31.35
1385,new delhi,IN,85.53,58.0,0.0,3.36,77.23,28.61
1388,abu samrah,SY,74.86,64.0,0.0,17.98,37.18,35.3
1390,kamina,CD,77.86,56.0,81.0,2.82,24.99,-8.74
1391,zunyi,CN,62.8,89.0,96.0,5.03,106.91,27.69
1393,zalesovo,RU,35.74,84.0,100.0,5.48,84.74,53.99
1395,miles city,US,55.4,28.0,40.0,19.46,-105.84,46.41
1398,urusha,RU,35.65,92.0,27.0,3.04,122.9,54.05
1401,sovetskaya,RU,64.0,4.0,83.0,25.99,41.17,44.78
1402,krasnoarmeysk,RU,64.0,27.0,97.0,1.99,45.7,51.02
1403,juli,PE,49.15,55.0,71.0,8.3,-69.45,-16.22
1408,heze,CN,64.87,79.0,66.0,7.0,115.44,35.24
1410,ketchikan,US,55.4,82.0,1.0,2.24,-131.65,55.34
1411,antalaha,MG,73.11,92.0,42.0,3.29,50.28,-14.9
1413,sokolo,ML,102.6,19.0,30.0,9.24,-6.12,14.73
1417,laramie,US,56.07,20.0,1.0,3.22,-105.59,41.31
1419,tutoia,BR,84.51,61.0,34.0,15.05,-42.27,-2.76
1420,yinchuan,CN,57.97,52.0,69.0,5.06,106.27,38.47
1426,dzerzhinsk,RU,59.99,54.0,100.0,2.24,43.46,56.24
1432,iqaluit,CA,39.2,51.0,20.0,17.22,-68.51,63.75
1439,aguas belas,BR,90.97,30.0,0.0,17.49,-37.12,-9.11
1440,iranshahr,IR,87.8,18.0,0.0,4.7,60.68,27.2
1445,kostivere,EE,55.2,87.0,75.0,6.93,25.1,59.43
1447,korla,CN,55.99,78.0,7.0,3.0,86.15,41.76
1453,havoysund,NO,51.8,81.0,75.0,19.46,24.66,71.0
1455,sauteurs,GD,86.0,79.0,40.0,17.22,-61.63,12.22
1456,aksu,CN,58.23,33.0,27.0,8.34,80.26,41.12
1457,leo,BF,83.37,70.0,97.0,0.63,-2.1,11.1
1466,imeni stepana razina,RU,52.97,66.0,100.0,6.62,44.3,54.89
1467,qaqortoq,GL,33.8,43.0,75.0,1.12,-46.03,60.72
1468,atambua,ID,72.54,82.0,35.0,3.51,124.89,-9.11
1471,aquiraz,BR,89.6,46.0,20.0,21.92,-38.39,-3.9
1475,beruwala,LK,79.41,83.0,93.0,6.04,79.98,6.48
1476,cabreuva,BR,91.26,34.0,20.0,9.17,-47.13,-23.31
1479,ulladulla,AU,55.42,93.0,40.0,5.82,150.47,-35.35
1482,bangkok,TH,84.0,66.0,100.0,8.37,100.52,13.75
1489,airai,TL,60.58,73.0,68.0,2.57,125.41,-8.93
1493,baza,ES,72.39,31.0,100.0,8.23,-2.77,37.49
1494,verkhoyansk,RU,30.34,85.0,75.0,5.84,133.38,67.54
1499,ginir,ET,60.49,95.0,99.0,4.72,40.7,7.13
1501,schattdorf,CH,56.55,82.0,90.0,3.36,8.65,46.87
1502,paris,FR,65.64,63.0,96.0,9.17,2.35,48.85
1526,kenai,US,48.85,76.0,90.0,27.51,-151.26,60.55
1542,kargat,RU,40.21,90.0,100.0,11.27,80.28,55.2
1543,morondava,MG,78.58,66.0,7.0,18.48,44.28,-20.28
1547,roma,US,59.5,63.0,90.0,11.41,-75.46,43.21
1550,saldanha,ZA,60.8,51.0,0.0,16.11,17.94,-33.01
1551,puerto narino,CO,82.4,83.0,75.0,4.7,-70.38,-3.77
1553,aksehir,TR,64.45,36.0,0.0,2.95,31.42,38.36
1556,bud,US,63.27,55.0,40.0,12.75,-86.18,39.45
1557,komsomolskiy,UZ,53.6,81.0,90.0,2.24,71.72,40.43
1575,carutapera,BR,86.27,60.0,34.0,11.39,-46.02,-1.2
1576,qasigiannguit,GL,28.4,50.0,20.0,6.93,-51.19,68.82
1577,hailun,CN,43.25,71.0,1.0,3.6,126.93,47.45
1580,dubbo,AU,53.6,93.0,90.0,4.7,148.62,-32.25
1581,ust-omchug,RU,33.42,93.0,94.0,1.28,149.63,61.15
1585,melita,CA,52.0,58.0,55.0,21.0,-101.0,49.27
1586,tukrah,LY,74.3,63.0,0.0,10.51,20.58,32.53
1588,katangli,RU,42.57,94.0,7.0,7.7,143.23,51.71
1594,krasnoselkup,RU,32.16,94.0,97.0,5.57,82.47,65.7
1596,littleton,US,64.49,22.0,1.0,11.41,-105.02,39.61
1598,phalombe,MW,79.07,35.0,3.0,6.87,35.65,-15.81
1599,vanderhoof,CA,49.44,82.0,16.0,2.59,-124.02,54.02
1601,xining,CN,46.94,77.0,98.0,4.56,101.77,36.62
1602,indramayu,ID,81.99,74.0,0.0,9.73,108.32,-6.33
1611,yerofey pavlovich,RU,35.53,90.0,49.0,2.35,121.97,53.97
1626,dali,CN,62.51,86.0,4.0,4.59,100.18,25.7
1628,qinggang,CN,45.43,69.0,0.0,4.16,126.08,46.68
1635,jiaozuo,CN,66.18,68.0,46.0,4.45,113.23,35.24
1637,pouebo,NC,66.07,77.0,25.0,14.25,164.57,-20.4
1642,xichang,CN,65.91,77.0,47.0,2.84,102.26,27.9
1646,shalakusha,RU,48.18,92.0,98.0,4.12,40.25,62.22
1648,oskemen,KZ,41.0,80.0,75.0,2.91,82.61,49.96
1651,bongandanga,CD,75.34,87.0,100.0,1.59,21.05,1.5
1652,coquimbo,CL,59.0,62.0,0.0,12.75,-71.34,-29.95
1653,minggang,CN,66.6,75.0,17.0,2.48,114.05,32.46
1660,ulaanbaatar,MN,33.8,80.0,90.0,13.42,106.88,47.91
1667,sinnamary,GF,87.06,63.0,24.0,12.66,-52.95,5.38
1674,korampallam,IN,83.82,62.0,16.0,12.37,78.1,8.77
1676,bend,US,59.31,41.0,1.0,4.7,-121.32,44.06
1678,hirado,JP,71.01,38.0,0.0,7.0,129.55,33.36
1685,pitimbu,BR,87.8,52.0,40.0,16.11,-34.81,-7.47
1686,mazagao,BR,93.2,59.0,40.0,11.41,-51.29,-0.12
1687,guanica,PR,88.74,54.0,68.0,5.99,-66.91,17.97
1689,richards bay,ZA,63.99,71.0,8.0,12.97,32.04,-28.78
1694,mahmudabad,IN,78.8,88.0,0.0,3.15,81.12,27.3
1699,haines junction,CA,39.72,78.0,21.0,1.86,-137.51,60.75
1702,doha,QA,93.2,59.0,0.0,8.05,51.53,25.29
1707,nouakchott,MR,93.2,49.0,0.0,18.34,-15.98,18.09
1714,kloulklubed,PW,78.8,88.0,90.0,4.7,134.26,7.04
1715,shimoda,JP,61.0,89.0,100.0,1.99,138.95,34.67
1720,maniitsoq,GL,31.32,82.0,0.0,6.13,-52.9,65.42
1728,luang prabang,LA,74.57,87.0,74.0,1.21,102.13,19.89
1729,ricany,CZ,58.71,63.0,50.0,3.36,14.65,49.99
1735,taikang,CN,47.8,65.0,1.0,7.81,124.42,46.83
1738,ugoofaaru,MV,82.11,76.0,94.0,11.7,73.0,5.67
1741,consett,GB,54.0,92.0,100.0,1.99,-1.83,54.85
1750,preobrazheniye,RU,54.84,63.0,100.0,4.07,133.91,42.9
1751,xam nua,LA,67.37,94.0,81.0,1.88,104.04,20.42
1759,kut chap,TH,76.75,90.0,87.0,2.17,102.57,17.43
1773,mehran,IR,73.4,35.0,0.0,4.7,46.16,33.12
1778,haileybury,CA,55.4,76.0,40.0,10.29,-79.64,47.45
1779,toba tek singh,PK,85.17,20.0,0.0,7.09,72.48,30.97
1784,pouembout,NC,62.1,79.0,19.0,4.65,164.9,-21.13
1785,kuytun,RU,27.19,95.0,37.0,4.61,101.5,54.34
1790,barra do corda,BR,102.4,22.0,68.0,6.73,-45.25,-5.5
1805,lano,NG,79.34,73.0,85.0,6.58,11.47,10.17
1806,dudinka,RU,28.4,92.0,40.0,4.47,86.18,69.41
1811,aktau,KZ,55.4,26.0,0.0,11.18,51.2,43.65
1814,plomarion,GR,73.4,53.0,20.0,14.99,26.37,38.98
1815,bataipora,BR,104.63,17.0,19.0,5.93,-53.27,-22.3
1817,moba,CN,53.01,99.0,100.0,1.34,105.02,33.23
1830,ojinaga,MX,73.15,19.0,1.0,3.36,-104.42,29.57
1832,gobabis,NA,74.68,17.0,0.0,7.61,18.97,-22.45
1833,japura,ID,74.52,95.0,61.0,2.3,102.35,-0.32
1838,kaeo,NZ,45.0,92.0,0.0,1.99,173.78,-35.1
1844,shelburne,CA,57.06,71.0,90.0,16.11,-80.2,44.08
1847,posse,BR,97.79,16.0,46.0,16.49,-46.37,-14.09
1851,rantepao,ID,67.6,91.0,100.0,1.5,119.9,-2.97
1854,cacule,BR,94.17,23.0,0.0,12.55,-42.22,-14.5
1855,artesia,US,81.25,47.0,1.0,3.36,-118.08,33.87
1859,chokurdakh,RU,31.37,98.0,14.0,11.74,147.92,70.63
1865,kamenice nad lipou,CZ,53.94,85.0,86.0,1.01,15.08,49.3
1867,abha,SA,71.47,56.0,25.0,8.05,42.51,18.22
1868,moose factory,CA,46.4,93.0,90.0,11.41,-80.61,51.26
1872,bozeman,US,53.85,50.0,1.0,3.76,-111.04,45.68
1873,corinto,GR,73.99,36.0,0.0,8.99,22.96,37.94
1879,jinchang,CN,51.03,51.0,59.0,4.61,102.17,38.5
1881,samarai,PG,78.17,85.0,91.0,13.85,150.67,-10.62
1883,maryborough,AU,56.48,85.0,10.0,0.65,152.7,-25.53
1887,hirara,JP,77.72,74.0,6.0,21.59,125.28,24.8
1905,sobolevo,RU,53.38,59.0,58.0,13.13,31.9,54.43
1914,vila velha,BR,83.39,66.0,1.0,16.11,-40.29,-20.33
1916,shieli,KZ,55.9,39.0,100.0,8.77,66.75,44.17
1917,laguna,US,71.06,46.0,1.0,5.82,-121.42,38.42
1922,osypenko,UA,62.01,100.0,93.0,14.0,36.83,46.91
1930,luzhou,CN,74.12,77.0,100.0,3.6,105.44,28.87
1934,puerto rico,AR,104.02,19.0,0.0,9.35,-55.02,-26.8
1935,abdulino,RU,54.59,73.0,12.0,5.84,53.67,53.7
1938,tahta,EG,103.15,13.0,0.0,6.93,31.5,26.77
1943,sao joao da barra,BR,84.31,55.0,2.0,17.22,-41.05,-21.64
1948,labuan,MY,82.2,83.0,20.0,5.01,115.24,5.28
1959,havre-saint-pierre,CA,60.8,100.0,90.0,13.87,-63.6,50.23
1964,butembo,CD,59.07,100.0,99.0,1.9,29.28,0.15
1968,northam,GB,58.32,95.0,100.0,8.99,-4.22,51.03
1975,moranbah,AU,61.84,83.0,0.0,13.11,148.05,-22.0
1979,coulommiers,FR,63.68,82.0,99.0,5.59,3.08,48.81
1990,latung,PH,83.41,71.0,1.0,4.9,120.88,5.5
1991,svetlaya,RU,51.64,61.0,81.0,7.9,138.33,46.54
1998,terrak,NO,59.36,67.0,20.0,10.29,12.37,65.09
